,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,trending
0,umap,lmcinnes/umap,visualization,True,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17,2021-05-03 18:03:04,2021-05-03 18:03:04,504.0,239.0,251.0,4696,1401.0,2021-02-08 20:01:30,0.5.1,24.0,Uniform Manifold Approximation and Projection.,2857.0,2857.0,79.0,25,1,,,
1,biopython,biopython/biopython,others,True,https://github.com/biopython/biopython,https://github.com/biopython/biopython,,2009-03-15 21:09:53,2021-05-06 14:08:34,2021-05-06 08:04:52,1208.0,329.0,880.0,2693,14755.0,,,,Official git repository for Biopython (originally converted from CVS).,6977.0,6977.0,373.0,24,1,,,
2,snakemake,snakemake/snakemake,workflow,True,https://github.com/snakemake/snakemake,https://github.com/snakemake/snakemake,MIT,2019-10-04 14:58:11,2021-05-04 16:07:09,2021-04-29 11:56:55,208.0,384.0,226.0,955,4056.0,2021-04-29 11:57:41,6.3.0,66.0,"This is the development home of the workflow management system Snakemake. For general information, see.",802.0,802.0,199.0,24,1,,,
3,MultiQC,ewels/MultiQC,others,True,https://github.com/ewels/MultiQC,https://github.com/ewels/MultiQC,GPL-3.0,2015-08-04 13:47:05,2021-05-05 10:48:12,2021-04-29 08:30:48,367.0,152.0,809.0,722,4158.0,2021-03-31 23:06:55,1.10.1,23.0,Aggregate results from bioinformatics analyses across many samples into a single report.,151.0,151.0,152.0,22,1,44.0,0.0,
4,bedtools2,arq5x/bedtools2,bed-gtf-gff,True,https://github.com/arq5x/bedtools2,https://github.com/arq5x/bedtools2,MIT,2013-12-09 21:18:03,2021-03-22 13:30:18,2021-03-22 13:30:18,244.0,142.0,536.0,678,2064.0,2021-01-23 20:10:40,2.30.0,21.0,bedtools - the swiss army knife for genome arithmetic.,,,86.0,22,1,376344.0,4228.0,
5,picard,broadinstitute/picard,sam-bam-cram,True,https://github.com/broadinstitute/picard,https://github.com/broadinstitute/picard,MIT,2014-03-28 20:43:35,2021-05-03 14:39:28,2021-05-01 23:48:52,298.0,180.0,465.0,670,2924.0,2021-05-03 14:10:44,2.25.4,100.0,A set of command line tools (in Java) for manipulating high-throughput sequencing (HTS) data and formats such as..,,,138.0,22,1,168014.0,3818.0,
6,nextflow,nextflow-io/nextflow,workflow,True,https://github.com/nextflow-io/nextflow,https://github.com/nextflow-io/nextflow,Apache-2.0,2013-03-27 11:17:33,2021-05-06 09:39:11,2021-05-02 19:30:48,329.0,150.0,1547.0,1376,4496.0,2021-05-02 17:56:15,21.04.0,100.0,A DSL for data-driven computational pipelines.,,,100.0,21,2,45398.0,756.0,-1.0
7,igv.js,igvteam/igv.js,visualization,True,https://github.com/igvteam/igv.js,https://github.com/igvteam/igv.js,MIT,2014-08-26 21:15:32,2021-05-05 16:44:51,2021-04-27 04:45:03,140.0,41.0,808.0,423,4683.0,2021-04-23 16:27:48,2.8.1,41.0,Embeddable genomic visualization component based on the Integrative Genomics Viewer.,92.0,92.0,52.0,21,2,,,
8,deepvariant,google/deepvariant,variant-caller,True,https://github.com/google/deepvariant,https://github.com/google/deepvariant,BSD-3-Clause,2017-11-23 01:56:22,2021-04-16 14:50:11,2021-03-31 18:23:13,545.0,2.0,405.0,2257,1503.0,2020-12-07 17:56:31,1.1.0,15.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,,,19.0,20,1,3325.0,81.0,
9,samtools,samtools/samtools,sam-bam-cram,True,https://github.com/samtools/samtools,https://github.com/samtools/samtools,,2012-03-09 02:49:58,2021-05-06 08:51:18,2021-04-30 10:56:35,448.0,170.0,694.0,1073,2265.0,2021-03-17 16:21:16,1.12,13.0,Tools (written in C using htslib) for manipulating next-generation sequencing data.,,,79.0,20,1,822384.0,10965.0,
